date,paper,title,url
2018-12-28,Connacht Tribune,,https://irishnewsarchive.com/?a=d&d=CTT20181228.1.73
2019-03-29,Connacht Tribune,Land/property notice mentioning Fohenagh,https://irishnewsarchive.com/?a=d&d=CTT20190329.1.105
2020-02-14,Connacht Tribune,Ahascragh Fohenagh juvenile registration,https://irishnewsarchive.com/?a=d&d=CTT20200214.1.57
2021-01-29,Galway City Tribune,The 1960 Fohenagh team which claimed back-to-back Galway senior hurling titles,https://irishnewsarchive.com/?a=d&d=CTB20210129.1.68
2021-01-29,Connacht Tribune,The 1960 Fohenagh team which claimed back-to-back Galway senior hurling titles,https://irishnewsarchive.com/?a=d&d=CTT20210129.1.82
2021-09-17,Galway City Tribune,Castlegar v Ahascragh/Fohenagh,https://irishnewsarchive.com/?a=d&d=CTB20210917.1.78
2023-02-10,Connacht Tribune,,https://irishnewsarchive.com/?a=d&d=CTT20230210.1.42
2023-04-07,Connacht Tribune,"Obituary: Maureen Molloy, formerly from Fohenagh",https://irishnewsarchive.com/?a=d&d=CTT20230407.1.45
2024-04-23,Nationalist & Leinster Times,Question about the Galway team that lost to Carlow,https://irishnewsarchive.com/?a=d&d=CNT20240423.1.74
2025-03-21,Connacht Tribune,Fohenagh production of Moll,https://irishnewsarchive.com/?a=d&d=CTT20250321.1.46
